CANDIDATE ID,CANDIDATE NAME,FATHER,GROUP,OTHER,Test ID,Test,General Knowledge,Social Science,Total,Test Rank,Group Rank,Percentage
1081,,,,,112,test,12,46,58,138,0,18.125
1082,,,,,112,test,45,-4,41,154,0,12.812
1083,,,,,112,test,60,101,161,41,0,50.312
1084,,,,,112,test,72,67,139,61,0,43.438
1085,,,,,112,test,55,61,116,82,0,36.25
1086,,,,,112,test,30,6,36,157,0,11.25
1089,,,,,112,test,35,36,71,126,0,22.188
1091,,,,,112,test,52,60,112,86,0,35
1092,,,,,112,test,46,56,102,96,0,31.875
1093,,,,,112,test,30,46,76,121,0,23.75
1094,,,,,112,test,82,78,160,42,0,50
1095,,,,,112,test,47,86,133,67,0,41.562
1096,,,,,112,test,120,94,214,10,0,66.875
1097,,,,,112,test,32,38,70,127,0,21.875
1098,,,,,112,test,49,58,107,91,0,33.438
1099,,,,,112,test,14,49,63,134,0,19.688
1100,,,,,112,test,66,94,160,42,0,50
1101,,,,,112,test,122,117,239,4,0,74.688
1102,,,,,112,test,45,56,101,97,0,31.562
1103,,,,,112,test,55,96,151,50,0,47.188
1104,,,,,112,test,17,51,68,129,0,21.25
1105,,,,,112,test,65,106,171,36,0,53.438
1106,,,,,112,test,73,47,120,78,0,37.5
1107,,,,,112,test,65,71,136,64,0,42.5
1108,,,,,112,test,20,56,76,121,0,23.75
1109,,,,,112,test,133,83,216,9,0,67.5
1110,,,,,112,test,24,32,56,140,0,17.5
1111,,,,,112,test,71,57,128,71,0,40
1113,,,,,112,test,30,51,81,117,0,25.312
1114,,,,,112,test,45,21,66,131,0,20.625
1115,,,,,112,test,5,16,21,169,0,6.562
1116,,,,,112,test,57,46,103,95,0,32.188
1117,,,,,112,test,65,56,121,77,0,37.812
1118,,,,,112,test,65,47,112,86,0,35
1119,,,,,112,test,37,38,75,122,0,23.438
1120,,,,,112,test,50,41,91,107,0,28.438
1121,,,,,112,test,85,38,123,75,0,38.438
1122,,,,,112,test,81,39,120,78,0,37.5
1123,,,,,112,test,60,53,113,85,0,35.312
1124,,,,,112,test,82,36,118,80,0,36.875
1125,,,,,112,test,20,51,71,126,0,22.188
1126,,,,,112,test,55,58,113,85,0,35.312
1128,,,,,112,test,66,44,110,88,0,34.375
1129,,,,,112,test,70,57,127,72,0,39.688
1131,,,,,112,test,15,-4,11,176,0,3.438
1132,,,,,112,test,10,11,21,169,0,6.562
1134,,,,,112,test,35,21,56,140,0,17.5
1135,,,,,112,test,21,6,27,164,0,8.438
1136,,,,,112,test,31,21,52,144,0,16.25
1137,,,,,112,test,20,-2,18,170,0,5.625
1138,,,,,112,test,60,31,91,107,0,28.438
1140,,,,,112,test,60,61,121,77,0,37.812
1141,,,,,112,test,25,51,76,121,0,23.75
1142,,,,,112,test,45,46,91,107,0,28.438
1144,,,,,112,test,60,56,116,82,0,36.25
1146,,,,,112,test,16,6,22,168,0,6.875
1147,,,,,112,test,5,36,41,154,0,12.812
1149,,,,,112,test,100,66,166,38,0,51.875
1150,,,,,112,test,31,27,58,138,0,18.125
1151,,,,,112,test,60,61,121,77,0,37.812
1152,,,,,112,test,15,16,31,162,0,9.688
1153,,,,,112,test,80,57,137,63,0,42.812
1154,,,,,112,test,36,-3,33,160,0,10.312
1155,,,,,112,test,40,31,71,126,0,22.188
1156,,,,,112,test,10,36,46,150,0,14.375
1157,,,,,112,test,85,71,156,46,0,48.75
1158,,,,,112,test,16,6,22,168,0,6.875
1159,,,,,112,test,30,6,36,157,0,11.25
1160,,,,,112,test,35,36,71,126,0,22.188
1161,,,,,112,test,85,46,131,69,0,40.938
1162,,,,,112,test,5,1,6,179,0,1.875
1163,,,,,112,test,50,41,91,107,0,28.438
1164,,,,,112,test,50,21,71,126,0,22.188
1165,,,,,112,test,55,71,126,73,0,39.375
1167,,,,,112,test,90,71,161,41,0,50.312
1168,,,,,112,test,75,41,116,82,0,36.25
1169,,,,,112,test,50,51,101,97,0,31.562
1170,,,,,112,test,35,56,91,107,0,28.438
1171,,,,,112,test,90,91,181,28,0,56.562
1173,,,,,112,test,30,16,46,150,0,14.375
1174,,,,,112,test,65,61,126,73,0,39.375
1175,,,,,112,test,40,41,81,117,0,25.312
1177,,,,,112,test,45,31,76,121,0,23.75
1178,,,,,112,test,10,26,36,157,0,11.25
1179,,,,,112,test,40,1,41,154,0,12.812
1181,,,,,112,test,45,6,51,145,0,15.938
1182,,,,,112,test,70,56,126,73,0,39.375
1183,,,,,112,test,40,21,61,136,0,19.062
1184,,,,,112,test,50,31,81,117,0,25.312
1185,,,,,112,test,15,36,51,145,0,15.938
1186,,,,,112,test,25,6,31,162,0,9.688
1187,,,,,112,test,25,-4,21,169,0,6.562
1188,,,,,112,test,65,56,121,77,0,37.812
1189,,,,,112,test,35,16,51,145,0,15.938
1190,,,,,112,test,70,71,141,59,0,44.062
1192,,,,,112,test,55,26,81,117,0,25.312
1193,,,,,112,test,105,87,192,19,0,60
1194,,,,,112,test,120,104,224,7,0,70
1195,,,,,112,test,40,56,96,102,0,30
1196,,,,,112,test,45,41,86,112,0,26.875
1197,,,,,112,test,55,51,106,92,0,33.125
1198,,,,,112,test,20,11,31,162,0,9.688
1200,,,,,112,test,10,16,26,165,0,8.125
1203,,,,,112,test,21,16,37,156,0,11.562
1204,,,,,112,test,45,46,91,107,0,28.438
1206,,,,,112,test,51,71,122,76,0,38.125
1210,,,,,112,test,75,61,136,64,0,42.5
1211,,,,,112,test,25,51,76,121,0,23.75
1213,,,,,112,test,65,66,131,69,0,40.938
1214,,,,,112,test,37,48,85,113,0,26.562
1215,,,,,112,test,30,36,66,131,0,20.625
1216,,,,,112,test,80,31,111,87,0,34.688
1217,,,,,112,test,5,16,21,169,0,6.562
1219,,,,,112,test,67,48,115,83,0,35.938
1220,,,,,112,test,25,1,26,165,0,8.125
1221,,,,,112,test,25,21,46,150,0,14.375
1222,,,,,112,test,25,56,81,117,0,25.312
1223,,,,,112,test,75,81,156,46,0,48.75
1224,,,,,112,test,90,66,156,46,0,48.75
1225,,,,,112,test,30,11,41,154,0,12.812
1226,,,,,112,test,85,76,161,41,0,50.312
1227,,,,,112,test,20,11,31,162,0,9.688
1228,,,,,112,test,85,106,191,20,0,59.688
1229,,,,,112,test,85,56,141,59,0,44.062
1230,,,,,112,test,80,46,126,73,0,39.375
1231,,,,,112,test,55,26,81,117,0,25.312
1232,,,,,112,test,70,31,101,97,0,31.562
1233,,,,,112,test,65,26,91,107,0,28.438
1235,,,,,112,test,65,26,91,107,0,28.438
1236,,,,,112,test,5,21,26,165,0,8.125
1237,,,,,112,test,-10,21,11,176,0,3.438
1238,,,,,112,test,61,26,87,111,0,27.188
1239,,,,,112,test,5,21,26,165,0,8.125
1240,,,,,112,test,65,72,137,63,0,42.812
1241,,,,,112,test,60,23,83,115,0,25.938
1242,,,,,112,test,65,47,112,86,0,35
1243,,,,,112,test,35,16,51,145,0,15.938
1244,,,,,112,test,85,66,151,50,0,47.188
1245,,,,,112,test,40,31,71,126,0,22.188
1246,,,,,112,test,25,16,41,154,0,12.812
1247,,,,,112,test,20,81,101,97,0,31.562
1248,,,,,112,test,55,36,91,107,0,28.438
1249,,,,,112,test,25,41,66,131,0,20.625
1250,,,,,112,test,100,96,196,18,0,61.25
1251,,,,,112,test,65,26,91,107,0,28.438
1252,,,,,112,test,50,61,111,87,0,34.688
1253,,,,,112,test,80,92,172,35,0,53.75
1254,,,,,112,test,30,42,72,125,0,22.5
1255,,,,,112,test,45,96,141,59,0,44.062
1256,,,,,112,test,82,98,180,29,0,56.25
1257,,,,,112,test,55,76,131,69,0,40.938
1258,,,,,112,test,75,52,127,72,0,39.688
1259,,,,,112,test,20,21,41,154,0,12.812
1260,,,,,112,test,68,76,144,56,0,45
1261,,,,,112,test,40,16,56,140,0,17.5
1262,,,,,112,test,45,51,96,102,0,30
1263,,,,,112,test,35,56,91,107,0,28.438
1264,,,,,112,test,65,11,76,121,0,23.75
1265,,,,,112,test,41,24,65,132,0,20.312
1266,,,,,112,test,48,10,58,138,0,18.125
1267,,,,,112,test,45,56,101,97,0,31.562
1268,,,,,112,test,80,51,131,69,0,40.938
1269,,,,,112,test,32,42,74,123,0,23.125
1270,,,,,112,test,80,66,146,54,0,45.625
1272,,,,,112,test,55,48,103,95,0,32.188
1273,,,,,112,test,96,78,174,33,0,54.375
1274,,,,,112,test,100,89,189,21,0,59.062
1275,,,,,112,test,101,99,200,15,0,62.5
1276,,,,,112,test,20,26,46,150,0,14.375
1277,,,,,112,test,65,37,102,96,0,31.875
1278,,,,,112,test,0,21,21,169,0,6.562
1279,,,,,112,test,73,67,140,60,0,43.75
1280,,,,,112,test,57,37,94,104,0,29.375
1281,,,,,112,test,80,46,126,73,0,39.375
1288,,,,,112,test,60,51,111,87,0,34.688
1289,,,,,112,test,55,36,91,107,0,28.438
1290,,,,,112,test,81,94,175,32,0,54.688
1291,,,,,112,test,55,86,141,59,0,44.062
1292,,,,,112,test,81,82,163,39,0,50.938
1293,,,,,112,test,90,41,131,69,0,40.938
1294,,,,,112,test,40,46,86,112,0,26.875
1297,,,,,112,test,58,51,109,89,0,34.062
1300,,,,,112,test,50,41,91,107,0,28.438
1301,,,,,112,test,65,61,126,73,0,39.375
1302,,,,,112,test,25,51,76,121,0,23.75
1303,,,,,112,test,80,81,161,41,0,50.312
1304,,,,,112,test,47,47,94,104,0,29.375
1307,,,,,112,test,46,26,72,125,0,22.5
1309,,,,,112,test,35,6,41,154,0,12.812
1310,,,,,112,test,57,76,133,67,0,41.562
1311,,,,,112,test,100,71,171,36,0,53.438
1312,,,,,112,test,55,11,66,131,0,20.625
1313,,,,,112,test,75,76,151,50,0,47.188
1314,,,,,112,test,65,58,123,75,0,38.438
1315,,,,,112,test,38,77,115,83,0,35.938
1316,,,,,112,test,35,61,96,102,0,30
1317,,,,,112,test,35,26,61,136,0,19.062
1318,,,,,112,test,45,41,86,112,0,26.875
1319,,,,,112,test,46,41,87,111,0,27.188
1320,,,,,112,test,5,11,16,172,0,5
1321,,,,,112,test,30,41,71,126,0,22.188
1322,,,,,112,test,55,62,117,81,0,36.562
1323,,,,,112,test,40,16,56,140,0,17.5
1324,,,,,112,test,30,16,46,150,0,14.375
1325,,,,,112,test,70,81,151,50,0,47.188
1327,,,,,112,test,20,36,56,140,0,17.5
1328,,,,,112,test,59,53,112,86,0,35
1329,,,,,112,test,70,66,136,64,0,42.5
1330,,,,,112,test,36,51,87,111,0,27.188
1331,,,,,112,test,40,71,111,87,0,34.688
1333,,,,,112,test,87,72,159,43,0,49.688
1334,,,,,112,test,47,98,145,55,0,45.312
1335,,,,,112,test,63,88,151,50,0,47.188
1336,,,,,112,test,68,56,124,74,0,38.75
1337,,,,,112,test,73,93,166,38,0,51.875
1338,,,,,112,test,68,98,166,38,0,51.875
1339,,,,,112,test,40,31,71,126,0,22.188
1340,,,,,112,test,87,33,120,78,0,37.5
1341,,,,,112,test,60,66,126,73,0,39.375
1342,,,,,112,test,50,56,106,92,0,33.125
1343,,,,,112,test,40,16,56,140,0,17.5
1344,,,,,112,test,6,51,57,139,0,17.812
1345,,,,,112,test,64,59,123,75,0,38.438
1346,,,,,112,test,25,16,41,154,0,12.812
1347,,,,,112,test,25,16,41,154,0,12.812
1348,,,,,112,test,20,41,61,136,0,19.062
1349,,,,,112,test,95,56,151,50,0,47.188
1352,,,,,112,test,35,6,41,154,0,12.812
1353,,,,,112,test,40,1,41,154,0,12.812
1354,,,,,112,test,80,56,136,64,0,42.5
1355,,,,,112,test,70,49,119,79,0,37.188
1356,,,,,112,test,65,56,121,77,0,37.812
1358,,,,,112,test,55,16,71,126,0,22.188
1359,,,,,112,test,45,31,76,121,0,23.75
1360,,,,,112,test,20,26,46,150,0,14.375
1361,,,,,112,test,30,46,76,121,0,23.75
1362,,,,,112,test,80,66,146,54,0,45.625
1363,,,,,112,test,36,66,102,96,0,31.875
1364,,,,,112,test,-5,1,-4,181,0,0
1365,,,,,112,test,35,21,56,140,0,17.5
1366,,,,,112,test,70,61,131,69,0,40.938
1367,,,,,112,test,55,81,136,64,0,42.5
1368,,,,,112,test,65,81,146,54,0,45.625
1369,,,,,112,test,40,46,86,112,0,26.875
1370,,,,,112,test,40,36,76,121,0,23.75
1371,,,,,112,test,35,56,91,107,0,28.438
1372,,,,,112,test,26,17,43,152,0,13.438
1374,,,,,112,test,60,56,116,82,0,36.25
1375,,,,,112,test,62,70,132,68,0,41.25
1376,,,,,112,test,23,45,68,129,0,21.25
1377,,,,,112,test,89,71,160,42,0,50
1378,,,,,112,test,91,81,172,35,0,53.75
1379,,,,,112,test,20,4,24,166,0,7.5
1380,,,,,112,test,37,36,73,124,0,22.812
1381,,,,,112,test,34,55,89,109,0,27.812
1382,,,,,112,test,65,57,122,76,0,38.125
1383,,,,,112,test,15,6,21,169,0,6.562
1384,,,,,112,test,66,91,157,45,0,49.062
1385,,,,,112,test,87,84,171,36,0,53.438
1386,,,,,112,test,104,88,192,19,0,60
1388,,,,,112,test,45,56,101,97,0,31.562
1389,,,,,112,test,69,76,145,55,0,45.312
1390,,,,,112,test,35,-4,31,162,0,9.688
1391,,,,,112,test,18,28,46,150,0,14.375
1393,,,,,112,test,3,19,22,168,0,6.875
1394,,,,,112,test,25,51,76,121,0,23.75
1395,,,,,112,test,90,94,184,26,0,57.5
1396,,,,,112,test,55,36,91,107,0,28.438
1397,,,,,112,test,15,62,77,120,0,24.062
1398,,,,,112,test,10,41,51,145,0,15.938
1399,,,,,112,test,11,47,58,138,0,18.125
1400,,,,,112,test,-20,31,11,176,0,3.438
1401,,,,,112,test,11,21,32,161,0,10
1402,,,,,112,test,60,87,147,53,0,45.938
1403,,,,,112,test,36,65,101,97,0,31.562
1404,,,,,112,test,40,52,92,106,0,28.75
1405,,,,,112,test,-5,41,36,157,0,11.25
1406,,,,,112,test,53,45,98,100,0,30.625
1407,,,,,112,test,10,-9,1,180,0,0.312
1408,,,,,112,test,44,59,103,95,0,32.188
1409,,,,,112,test,45,46,91,107,0,28.438
1410,,,,,112,test,85,56,141,59,0,44.062
1412,,,,,112,test,-10,6,-4,181,0,0
1413,,,,,112,test,25,42,67,130,0,20.938
1414,,,,,112,test,15,6,21,169,0,6.562
1415,,,,,112,test,45,26,71,126,0,22.188
1416,,,,,112,test,35,16,51,145,0,15.938
1417,,,,,112,test,0,36,36,157,0,11.25
1419,,,,,112,test,25,31,56,140,0,17.5
1420,,,,,112,test,40,1,41,154,0,12.812
1421,,,,,112,test,55,26,81,117,0,25.312
1422,,,,,112,test,15,16,31,162,0,9.688
1424,,,,,112,test,50,46,96,102,0,30
1425,,,,,112,test,60,46,106,92,0,33.125
1426,,,,,112,test,65,21,86,112,0,26.875
1427,,,,,112,test,50,46,96,102,0,30
1430,,,,,112,test,20,36,56,140,0,17.5
1431,,,,,112,test,40,41,81,117,0,25.312
1432,,,,,112,test,25,16,41,154,0,12.812
1433,,,,,112,test,85,76,161,41,0,50.312
1434,,,,,112,test,30,1,31,162,0,9.688
1435,,,,,112,test,95,71,166,38,0,51.875
1436,,,,,112,test,45,41,86,112,0,26.875
1437,,,,,112,test,25,6,31,162,0,9.688
1438,,,,,112,test,80,36,116,82,0,36.25
1439,,,,,112,test,75,66,141,59,0,44.062
1440,,,,,112,test,80,81,161,41,0,50.312
1441,,,,,112,test,50,26,76,121,0,23.75
1442,,,,,112,test,65,11,76,121,0,23.75
1443,,,,,112,test,70,41,111,87,0,34.688
1444,,,,,112,test,30,31,61,136,0,19.062
1445,,,,,112,test,70,51,121,77,0,37.812
1447,,,,,112,test,30,21,51,145,0,15.938
1448,,,,,112,test,50,52,102,96,0,31.875
1450,,,,,112,test,20,-4,16,172,0,5
1451,,,,,112,test,20,16,36,157,0,11.25
1453,,,,,112,test,35,31,66,131,0,20.625
1454,,,,,112,test,60,36,96,102,0,30
1455,,,,,112,test,115,86,201,14,0,62.812
1456,,,,,112,test,45,91,136,64,0,42.5
1457,,,,,112,test,35,36,71,126,0,22.188
1458,,,,,112,test,-10,16,6,179,0,1.875
1459,,,,,112,test,30,61,91,107,0,28.438
1460,,,,,112,test,35,41,76,121,0,23.75
1462,,,,,112,test,30,21,51,145,0,15.938
1463,,,,,112,test,25,51,76,121,0,23.75
1464,,,,,112,test,75,81,156,46,0,48.75
1465,,,,,112,test,50,46,96,102,0,30
1466,,,,,112,test,15,31,46,150,0,14.375
1467,,,,,112,test,35,51,86,112,0,26.875
1468,,,,,112,test,30,21,51,145,0,15.938
1469,,,,,112,test,72,55,127,72,0,39.688
1470,,,,,112,test,30,11,41,154,0,12.812
1471,,,,,112,test,22,12,34,159,0,10.625
1472,,,,,112,test,95,93,188,22,0,58.75
1473,,,,,112,test,44,53,97,101,0,30.312
1475,,,,,112,test,-5,21,16,172,0,5
1476,,,,,112,test,43,10,53,143,0,16.562
1477,,,,,112,test,17,36,53,143,0,16.562
1478,,,,,112,test,30,21,51,145,0,15.938
1479,,,,,112,test,15,51,66,131,0,20.625
1481,,,,,112,test,72,60,132,68,0,41.25
1482,,,,,112,test,29,42,71,126,0,22.188
1483,,,,,112,test,35,11,46,150,0,14.375
1484,,,,,112,test,30,32,62,135,0,19.375
1485,,,,,112,test,40,56,96,102,0,30
1486,,,,,112,test,21,40,61,136,0,19.062
1487,,,,,112,test,59,64,123,75,0,38.438
1488,,,,,112,test,72,108,180,29,0,56.25
1489,,,,,112,test,75,117,192,19,0,60
149,,,,,112,test,90,61,151,50,0,47.188
1490,,,,,112,test,94,67,161,41,0,50.312
1491,,,,,112,test,5,57,62,135,0,19.375
1492,,,,,112,test,40,21,61,136,0,19.062
1493,,,,,112,test,50,34,84,114,0,26.25
1494,,,,,112,test,55,41,96,102,0,30
1495,,,,,112,test,35,46,81,117,0,25.312
1497,,,,,112,test,59,51,110,88,0,34.375
1498,,,,,112,test,10,41,51,145,0,15.938
1499,,,,,112,test,29,18,47,149,0,14.688
1500,,,,,112,test,16,41,57,139,0,17.812
1501,,,,,112,test,34,53,87,111,0,27.188
1502,,,,,112,test,41,42,83,115,0,25.938
1503,,,,,112,test,63,52,115,83,0,35.938
1504,,,,,112,test,12,36,48,148,0,15
1505,,,,,112,test,40,86,126,73,0,39.375
1506,,,,,112,test,7,8,15,173,0,4.688
1507,,,,,112,test,72,36,108,90,0,33.75
1508,,,,,112,test,55,35,90,108,0,28.125
1510,,,,,112,test,32,32,64,133,0,20
1511,,,,,112,test,29,38,67,130,0,20.938
1512,,,,,112,test,49,55,104,94,0,32.5
1513,,,,,112,test,68,20,88,110,0,27.5
1514,,,,,112,test,25,16,41,154,0,12.812
1515,,,,,112,test,46,37,83,115,0,25.938
1516,,,,,112,test,27,22,49,147,0,15.312
1517,,,,,112,test,-8,-10,-18,182,0,0
1518,,,,,112,test,61,71,132,68,0,41.25
1519,,,,,112,test,64,45,109,89,0,34.062
1520,,,,,112,test,35,46,81,117,0,25.312
1521,,,,,112,test,50,66,116,82,0,36.25
1522,,,,,112,test,60,27,87,111,0,27.188
1523,,,,,112,test,40,2,42,153,0,13.125
1524,,,,,112,test,49,25,74,123,0,23.125
1525,,,,,112,test,25,-9,16,172,0,5
1526,,,,,112,test,77,51,128,71,0,40
1527,,,,,112,test,47,32,79,118,0,24.688
1528,,,,,112,test,52,25,77,120,0,24.062
1529,,,,,112,test,23,30,53,143,0,16.562
1530,,,,,112,test,83,64,147,53,0,45.938
1531,,,,,112,test,7,42,49,147,0,15.312
1533,,,,,112,test,70,50,120,78,0,37.5
1534,,,,,112,test,51,56,107,91,0,33.438
1535,,,,,112,test,45,56,101,97,0,31.562
1536,,,,,112,test,35,42,77,120,0,24.062
1537,,,,,112,test,45,9,54,142,0,16.875
1538,,,,,112,test,31,42,73,124,0,22.812
1539,,,,,112,test,50,42,92,106,0,28.75
1540,,,,,112,test,55,31,86,112,0,26.875
1541,,,,,112,test,75,56,131,69,0,40.938
1542,,,,,112,test,15,31,46,150,0,14.375
1544,,,,,112,test,45,16,61,136,0,19.062
1545,,,,,112,test,60,41,101,97,0,31.562
1546,,,,,112,test,10,31,41,154,0,12.812
1547,,,,,112,test,30,26,56,140,0,17.5
1548,,,,,112,test,55,46,101,97,0,31.562
1549,,,,,112,test,40,2,42,153,0,13.125
1550,,,,,112,test,30,52,82,116,0,25.625
1551,,,,,112,test,50,61,111,87,0,34.688
1552,,,,,112,test,85,76,161,41,0,50.312
1553,,,,,112,test,-5,23,18,170,0,5.625
1554,,,,,112,test,5,61,66,131,0,20.625
1555,,,,,112,test,30,41,71,126,0,22.188
1556,,,,,112,test,15,31,46,150,0,14.375
1558,,,,,112,test,25,26,51,145,0,15.938
1559,,,,,112,test,60,58,118,80,0,36.875
1560,,,,,112,test,35,11,46,150,0,14.375
1561,,,,,112,test,15,21,36,157,0,11.25
1562,,,,,112,test,45,56,101,97,0,31.562
1563,,,,,112,test,20,61,81,117,0,25.312
1565,,,,,112,test,15,26,41,154,0,12.812
1566,,,,,112,test,60,36,96,102,0,30
1568,,,,,112,test,80,61,141,59,0,44.062
1569,,,,,112,test,55,34,89,109,0,27.812
1570,,,,,112,test,35,36,71,126,0,22.188
1571,,,,,112,test,35,47,82,116,0,25.625
1574,,,,,112,test,20,67,87,111,0,27.188
1576,,,,,112,test,94,64,158,44,0,49.375
1577,,,,,112,test,76,64,140,60,0,43.75
1578,,,,,112,test,20,31,51,145,0,15.938
1580,,,,,112,test,35,61,96,102,0,30
1581,,,,,112,test,0,11,11,176,0,3.438
1582,,,,,112,test,71,26,97,101,0,30.312
1583,,,,,112,test,75,62,137,63,0,42.812
1584,,,,,112,test,5,26,31,162,0,9.688
1585,,,,,112,test,80,51,131,69,0,40.938
1587,,,,,112,test,60,36,96,102,0,30
1588,,,,,112,test,90,93,183,27,0,57.188
1589,,,,,112,test,46,51,97,101,0,30.312
1590,,,,,112,test,65,31,96,102,0,30
1591,,,,,112,test,50,46,96,102,0,30
1592,,,,,112,test,50,26,76,121,0,23.75
1593,,,,,112,test,70,96,166,38,0,51.875
1594,,,,,112,test,75,96,171,36,0,53.438
1595,,,,,112,test,55,36,91,107,0,28.438
1596,,,,,112,test,70,51,121,77,0,37.812
1597,,,,,112,test,60,58,118,80,0,36.875
1598,,,,,112,test,100,76,176,31,0,55
1600,,,,,112,test,25,41,66,131,0,20.625
1603,,,,,112,test,75,56,131,69,0,40.938
1604,,,,,112,test,75,66,141,59,0,44.062
1605,,,,,112,test,70,66,136,64,0,42.5
1606,,,,,112,test,30,69,99,99,0,30.938
1607,,,,,112,test,95,106,201,14,0,62.812
1608,,,,,112,test,30,59,89,109,0,27.812
1609,,,,,112,test,60,50,110,88,0,34.375
1610,,,,,112,test,82,91,173,34,0,54.062
1611,,,,,112,test,75,99,174,33,0,54.375
1612,,,,,112,test,61,41,102,96,0,31.875
1613,,,,,112,test,65,51,116,82,0,36.25
1615,,,,,112,test,45,51,96,102,0,30
1617,,,,,112,test,60,61,121,77,0,37.812
1618,,,,,112,test,45,21,66,131,0,20.625
1619,,,,,112,test,45,56,101,97,0,31.562
1622,,,,,112,test,90,46,136,64,0,42.5
1623,,,,,112,test,40,46,86,112,0,26.875
1624,,,,,112,test,66,71,137,63,0,42.812
1629,,,,,112,test,85,91,176,31,0,55
1630,,,,,112,test,25,46,71,126,0,22.188
1631,,,,,112,test,70,56,126,73,0,39.375
1632,,,,,112,test,40,51,91,107,0,28.438
1635,,,,,112,test,65,52,117,81,0,36.562
1636,,,,,112,test,35,1,36,157,0,11.25
1637,,,,,112,test,30,42,72,125,0,22.5
1641,,,,,112,test,20,31,51,145,0,15.938
1642,,,,,112,test,20,46,66,131,0,20.625
1643,,,,,112,test,120,122,242,3,0,75.625
1644,,,,,112,test,95,91,186,24,0,58.125
1645,,,,,112,test,41,26,67,130,0,20.938
1646,,,,,112,test,35,36,71,126,0,22.188
1647,,,,,112,test,110,56,166,38,0,51.875
1648,,,,,112,test,30,36,66,131,0,20.625
1649,,,,,112,test,60,36,96,102,0,30
1652,,,,,112,test,50,86,136,64,0,42.5
1653,,,,,112,test,76,101,177,30,0,55.312
1654,,,,,112,test,98,76,174,33,0,54.375
1655,,,,,112,test,65,21,86,112,0,26.875
1656,,,,,112,test,106,91,197,17,0,61.562
1657,,,,,112,test,60,31,91,107,0,28.438
1658,,,,,112,test,60,41,101,97,0,31.562
1659,,,,,112,test,35,46,81,117,0,25.312
1660,,,,,112,test,45,48,93,105,0,29.062
1661,,,,,112,test,60,56,116,82,0,36.25
1662,,,,,112,test,72,51,123,75,0,38.438
1663,,,,,112,test,45,31,76,121,0,23.75
1664,,,,,112,test,120,86,206,13,0,64.375
1665,,,,,112,test,17,-4,13,174,0,4.062
1666,,,,,112,test,115,86,201,14,0,62.812
1668,,,,,112,test,15,31,46,150,0,14.375
